+-------+---------------------+
| epoch |      train loss     |
+-------+---------------------+
|   1   |  1.0747585501957515 |
|   2   |  1.0493745057492174 |
|   3   |  1.164607556657653  |
|   4   |  1.2316884354312254 |
|   5   |  1.1024005949467162 |
|   6   |  1.076085608448477  |
|   7   |  0.8726059929772801 |
|   8   |  0.7490039922530103 |
|   9   |  0.6962866777917704 |
|   10  |  0.7171661129300652 |
|   11  |  0.6149277269868229 |
|   12  |  0.5547928454115052 |
|   13  |  0.5113541061543471 |
|   14  | 0.47353971963326735 |
|   15  |  0.4343117987022626 |
|   16  | 0.39821048433126666 |
|   17  | 0.36652708357100805 |
|   18  | 0.33606101895176416 |
|   19  | 0.31190867843703557 |
|   20  | 0.29864082343723336 |
+-------+---------------------+
