+-------+--------------------+
| epoch |     train loss     |
+-------+--------------------+
|   1   | 205.4280158748598  |
|   2   | 202.67742536203176 |
|   3   | 200.61770235177974 |
|   4   | 198.87130072669933 |
|   5   | 196.58350279370143 |
|   6   | 194.15839595452687 |
|   7   | 191.37872220089108 |
|   8   | 189.29717309264186 |
|   9   | 187.07036620151172 |
|   10  | 185.13905174271426 |
|   11  | 183.38105718066316 |
|   12  | 181.68954422395916 |
|   13  | 180.1156756886565  |
|   14  | 178.96195200341626 |
|   15  | 177.66515533085837 |
|   16  | 176.7578358861422  |
|   17  | 175.96407784959717 |
|   18  | 175.35789684975586 |
|   19  | 175.0732367528119  |
|   20  | 175.02892346097786 |
+-------+--------------------+
