+-------+----------------------+
| epoch |      train loss      |
+-------+----------------------+
|   1   |  3.201542127997319   |
|   2   | 0.16808250275384068  |
|   3   | 0.09291639831174209  |
|   4   | 0.05506531680904558  |
|   5   | 0.045152561455837244 |
|   6   | 0.04090163068172491  |
|   7   | 0.037665751798340974 |
|   8   |  0.0357642271164426  |
|   9   | 0.03347077234997663  |
|   10  | 0.031296942316369654 |
|   11  | 0.029665730645642967 |
|   12  | 0.028711114418763464 |
|   13  | 0.028122218475298087 |
|   14  | 0.026297137303435886 |
|   15  | 0.025227047316338732 |
|   16  | 0.02438463246475278  |
|   17  | 0.024322598760216065 |
|   18  | 0.023524272702431896 |
|   19  | 0.022901968081859805 |
|   20  | 0.022409760295298554 |
+-------+----------------------+
